
Begin Step 0, Time: 0.00909085, Redshift: 109.001, Systemstep: 0, Dloga: 0
Begin Step 58, Time: 0.0263699, Redshift: 36.9221, Systemstep: 0.000479767, Dloga: 0.0183613

Begin Step 59, Time: 0.0268585, Redshift: 36.2321, Systemstep: 0.000488657, Dloga: 0.0183613

Begin Step 60, Time: 0.0273563, Redshift: 35.5547, Systemstep: 0.000497712, Dloga: 0.0183613

Begin Step 61, Time: 0.0278632, Redshift: 34.8897, Systemstep: 0.000506935, Dloga: 0.0183613

Begin Step 62, Time: 0.0283795, Redshift: 34.2367, Systemstep: 0.000516329, Dloga: 0.0183613

Begin Step 63, Time: 0.0289054, Redshift: 33.5956, Systemstep: 0.000525897, Dloga: 0.0183613

Begin Step 64, Time: 0.0294411, Redshift: 32.9662, Systemstep: 0.000535643, Dloga: 0.0183613

Begin Step 65, Time: 0.0299866, Redshift: 32.3482, Systemstep: 0.000545569, Dloga: 0.0183613

Begin Step 66, Time: 0.0305423, Redshift: 31.7415, Systemstep: 0.000555679, Dloga: 0.0183613

Begin Step 67, Time: 0.0311083, Redshift: 31.1458, Systemstep: 0.000565976, Dloga: 0.0183613

Begin Step 68, Time: 0.0316847, Redshift: 30.5609, Systemstep: 0.000576464, Dloga: 0.0183613

Begin Step 69, Time: 0.031977, Redshift: 30.2725, Systemstep: 0.000292226, Dloga: 0.00918064

Begin Step 70, Time: 0.0322719, Redshift: 29.9867, Systemstep: 0.000294921, Dloga: 0.00918064

Begin Step 71, Time: 0.0325695, Redshift: 29.7035, Systemstep: 0.000297641, Dloga: 0.00918064

Begin Step 72, Time: 0.0328699, Redshift: 29.423, Systemstep: 0.000300386, Dloga: 0.00918064

Begin Step 73, Time: 0.0331731, Redshift: 29.1449, Systemstep: 0.000303156, Dloga: 0.00918064

Begin Step 74, Time: 0.033479, Redshift: 28.8694, Systemstep: 0.000305952, Dloga: 0.00918064

Begin Step 75, Time: 0.0337878, Redshift: 28.5965, Systemstep: 0.000308774, Dloga: 0.00918064

Begin Step 76, Time: 0.0340994, Redshift: 28.326, Systemstep: 0.000311622, Dloga: 0.00918064

Begin Step 77, Time: 0.0344139, Redshift: 28.058, Systemstep: 0.000314496, Dloga: 0.00918064

Begin Step 78, Time: 0.0347313, Redshift: 27.7925, Systemstep: 0.000317396, Dloga: 0.00918064

Begin Step 79, Time: 0.0350516, Redshift: 27.5293, Systemstep: 0.000320324, Dloga: 0.00918064

Begin Step 80, Time: 0.0353749, Redshift: 27.2686, Systemstep: 0.000323278, Dloga: 0.00918064

Begin Step 81, Time: 0.0357012, Redshift: 27.0103, Systemstep: 0.00032626, Dloga: 0.00918064

Begin Step 82, Time: 0.0358654, Redshift: 26.882, Systemstep: 0.000164256, Dloga: 0.00459032

Begin Step 83, Time: 0.0360304, Redshift: 26.7543, Systemstep: 0.000165012, Dloga: 0.00459032

Begin Step 84, Time: 0.0361962, Redshift: 26.6272, Systemstep: 0.000165771, Dloga: 0.00459032

Begin Step 85, Time: 0.0363627, Redshift: 26.5007, Systemstep: 0.000166534, Dloga: 0.00459032

Begin Step 86, Time: 0.03653, Redshift: 26.3747, Systemstep: 0.0001673, Dloga: 0.00459032

Begin Step 87, Time: 0.0366981, Redshift: 26.2494, Systemstep: 0.00016807, Dloga: 0.00459032

Begin Step 88, Time: 0.036867, Redshift: 26.1246, Systemstep: 0.000168843, Dloga: 0.00459032

Begin Step 89, Time: 0.0370366, Redshift: 26.0003, Systemstep: 0.00016962, Dloga: 0.00459032

Begin Step 90, Time: 0.037207, Redshift: 25.8767, Systemstep: 0.000170401, Dloga: 0.00459032

Begin Step 91, Time: 0.0373782, Redshift: 25.7536, Systemstep: 0.000171185, Dloga: 0.00459032

Begin Step 92, Time: 0.0375501, Redshift: 25.6311, Systemstep: 0.000171972, Dloga: 0.00459032

Begin Step 93, Time: 0.0377229, Redshift: 25.5091, Systemstep: 0.000172763, Dloga: 0.00459032

Begin Step 94, Time: 0.0378965, Redshift: 25.3877, Systemstep: 0.000173558, Dloga: 0.00459032

Begin Step 95, Time: 0.0380708, Redshift: 25.2668, Systemstep: 0.000174357, Dloga: 0.00459032

Begin Step 96, Time: 0.038246, Redshift: 25.1465, Systemstep: 0.000175159, Dloga: 0.00459032

Begin Step 97, Time: 0.0384219, Redshift: 25.0268, Systemstep: 0.000175965, Dloga: 0.00459032

Begin Step 98, Time: 0.0385987, Redshift: 24.9076, Systemstep: 0.000176774, Dloga: 0.00459032

Begin Step 99, Time: 0.0387763, Redshift: 24.7889, Systemstep: 0.000177588, Dloga: 0.00459032

Begin Step 100, Time: 0.0389547, Redshift: 24.6708, Systemstep: 0.000178405, Dloga: 0.00459032

Begin Step 101, Time: 0.0391339, Redshift: 24.5533, Systemstep: 0.000179226, Dloga: 0.00459032

Begin Step 102, Time: 0.039314, Redshift: 24.4362, Systemstep: 0.00018005, Dloga: 0.00459032

